KIS POWER PLANT OUTAGE SUMMARY,,,,,
,,,,,
,,,,,
UNIT,START_DATE_AND _TIME,END_DATE_AND_TIME,DURATION,TYPE_OF_OUTAGE,DESCRIPTION
Power Plant ,02/01/2024 15:51,02/01/2024 15:52,00:24,Unplanned,KIS_plant_shutdown
Power Plant ,06/01/2024 14:58,06/01/2024 15:01,00:03,Unplanned,KIS_plant_shutdown
Power Plant ,08/01/2024 14:29,08/01/2024 14:30,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,12/01/2024 08:45,12/01/2024 08:46,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,16/01/2024 12:58,16/01/2024 13:00,00:02,Unplanned,KIS_plant_shutdown
Power Plant ,23/01/2024 06:10,23/01/2024 07:00,00:50,Unplanned,KIS_plant_shutdown
Power Plant ,24/01/2024 16:52,24/01/2024 16:53,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,24/01/2024 10:57,24/01/2024 10:58,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,26/01/2024 07:00,26/01/2024 07:06,00:06,Unplanned,KIS_plant_shutdown
Power Plant ,26/01/2024 07:30,26/01/2024 07:36,00:06,Unplanned,KIS_plant_shutdown
Power Plant ,26/01/2024 13:11,26/01/2024 13:12,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,28/01/2024 17:01,28/01/2024 17:03,00:02,Unplanned,KIS_plant_shutdown
Power Plant ,30/01/2024 14:03,30/01/2024 14:06,00:03,Unplanned,KIS_plant_shutdown
Bugoma Feeder,30/01/2024 20:14,30/01/2024 20:38,00:24,Unplanned,KIS_plant_shutdown
Power Plant ,06/02/2024 10:48,06/02/2024 10:50,00:02,Unplanned,KIS_plant_shutdown
Power Plant ,08/02/2024 23:36,08/02/2024 23:39,00:03,Unplanned,KIS_plant_shutdown
Power Plant ,09/02/2024 15:05,09/02/2024 15:06,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,10/02/2024 08:21,10/02/2024 08:21,00:00,Unplanned,KIS_plant_shutdown
Power Plant ,14/02/2024 10:26,14/02/2024 10:27,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,14/02/2024 17:15,14/02/2024 17:18,00:03,Unplanned,KIS_plant_shutdown
Power Plant ,15/02/2024 06:03,15/02/2024 06:47,00:44,Unplanned,KIS_plant_shutdown
Power Plant ,16/02/2024 11:54,16/02/2024 11:56,00:02,Unplanned,KIS_plant_shutdown
Power Plant ,16/02/2024 12:51,16/02/2024 12:55,00:04,Unplanned,KIS_plant_shutdown
Power Plant ,16/02/2024 13:27,16/02/2024 13:30,00:03,Unplanned,KIS_plant_shutdown
Power Plant ,16/02/2024 14:51,16/02/2024 14:56,00:05,Unplanned,KIS_plant_shutdown
Power Plant ,17/02/2024 12:27,17/02/2024 12:30,00:03,Unplanned,KIS_plant_shutdown
Power Plant ,20/02/2024 15:17,20/02/2024 15:18,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,20/02/2024 16:48,20/02/2024 18:17,01:29,Planned,KIS_plant_shutdown
Power Plant ,20/02/2024 12:52,20/02/2024 12:54,00:02,Unplanned,KIS_plant_shutdown
Power Plant ,24/02/2024 15:58,24/02/2024 15:59,00:01,Unplanned,KIS_plant_shutdown
Kalangala  Feeder,27/02/2024 04:50,27/02/2024 09:03,04:13,Unplanned,KIS_plant_shutdown
Bugoma Feeder,27/02/2024 04:50,27/02/2024 10:55,06:05,Unplanned,KIS_plant_shutdown
Power Plant ,28/02/2024 13:32,28/02/2024 13:33,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,01/03/2024 13:01,01/03/2024 13:02,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,01/03/2024 14:24,01/03/2024 14:25,00:01,Unplanned,KIS_plant_shutdown
Power Plant ,08/03/2024 11:12,08/03/2024 11:14,00:02,Unplanned,KIS_plant_shutdown
Mulabana 33KV extension,08/03/2024 11:30,08/03/2024 13:54,02:24,Unplanned,KIS_plant_shutdown
kazimalanga 33KV extension,08/03/2024 11:30,08/03/2024 17:37,06:07,Unplanned,KIS_plant_shutdown
Power Plant ,10/03/2024 04:58,10/03/2024 04:59,00:01,Unplanned,KIS_plant_shutdown
Bugoma Feeder,11/03/2024 11:53,11/03/2024 13:48,01:55,Unplanned,KIS_plant_shutdown
Mulabana  extension,11/03/2024 12:12,11/03/2024 13:50,01:38,Unplanned,KIS_plant_shutdown
Both Feeders,12/03/2024 05:10,12/03/2024 05:16,00:06,Unplanned,KIS_plant_shutdown
Power Plant ,14/03/2024 10:00,14/03/2024 10:02,00:02,Unplanned,KIS_plant_shutdown
Mulabana  extension,14/03/2024 10:11,14/03/2024 14:31,04:20,Unplanned,KIS_plant_shutdown
Bugoma Feeder,14/03/2024 10:00,14/03/2024 14:10,04:10,Unplanned,KIS_plant_shutdown
Kalangala  Feeder,14/03/2024 10:00,14/03/2024 10:02,00:02,Unplanned,KIS_plant_shutdown
Both Feeders,16/03/2024 16:29,16/03/2024 16:34,00:05,Unplanned,KIS_plant_shutdown
Senero 33KV T-off,16/03/2024 16:29,16/03/2024 19:23,02:54,Unplanned,KIS_plant_shutdown
Kalangala  Feeder,25/03/2024 08:02,25/03/2024 08:28,00:26,Unplanned,KIS_plant_shutdown
Both Feeders,25/03/2024 10:50,25/03/2024 10:52,00:02,Unplanned,KIS_plant_shutdown
Kalangala  Feeder,27/03/2024 05:00,27/03/2024 05:50,00:50,Unplanned,KIS_plant_shutdown
Kalangala  Feeder,11/04/2024 07:34,11/04/2024 07:38,00:04,Planned,KIS_plant_shutdown
Both Feeders,15/04/2024 16:02,15/04/2024 16:06,00:04,Unplanned,KIS_plant_shutdown
Both Feeders,18/04/2024 06:55,18/04/2024 07:15,00:20,Unplanned,KIS_plant_shutdown
Both Feeders,18/04/2024 08:46,18/04/2024 09:00,00:14,Unplanned,KIS_plant_shutdown
Power Plant ,09/05/2024 06:33,09/05/2024 06:34,00:01,Unplanned,KIS_plant_shutdown
Kalangala  Feeder,01/06/2024 00:00,01/06/2024 11:50,11:50,Unplanned,KIS_plant_shutdown
Kalangala  Feeder,14/06/2024 16:46,14/06/2024 16:58,00:12,Unplanned,Lost_supply_from_national_grid 
Power Plant ,21/06/2024 03:38,21/06/2024 03:40,00:02,Unplanned,Lost_supply_from_national_grid 
Power Plant ,21/06/2024 04:36,21/06/2024 05:10,00:34,Unplanned,Lost_supply_from_national_grid 
Power Plant ,21/06/2024 10:39,21/06/2024 10:45,00:06,Unplanned,Lost_supply_from_national_grid 
Power Plant ,22/06/2024 10:25,22/06/2024 10:41,00:16,Planned,KIS_plant_shutdown
Power Plant ,22/06/2024 12:18,22/06/2024 12:20,00:02,Unplanned,KIS_plant_shutdown
Power Plant ,22/06/2024 16:52,22/06/2024 16:53,00:01,Unplanned,Lost_supply_from_national_grid 
Power Plant ,25/06/2024 10:48,25/06/2024 11:01,00:13,Unplanned,Lost_supply_from_national_grid 
