PlannedStartTime,PlannedEndTime,duration
04/01/2025 08:00,04/01/2025 16:00,0
04/10/2025 11:02,04/11/2025 17:00,31
04/07/2025 10:01,04/07/2025 11:00,0
02/12/2025 17:01,06/02/2025 06:59,299
03/06/2025 12:42,12/01/2025 16:00,142
03/06/2025 12:42,12/01/2025 16:00,142
04/01/2025 05:30,04/12/2025 14:59,334
04/09/2025 08:00,04/10/2025 11:00,30
04/10/2025 05:59,04/10/2025 11:01,0
04/09/2025 11:01,04/09/2025 15:30,0
04/07/2025 08:00,04/08/2025 15:00,31
04/02/2025 07:30,04/02/2025 16:00,0
04/01/2025 18:00,04/07/2025 12:00,181
04/06/2025 04:00,05/02/2025 06:59,119
04/02/2025 06:00,04/02/2025 17:00,0
04/07/2025 08:30,04/12/2025 15:00,153
04/01/2025 17:01,04/05/2025 17:00,120
04/08/2025 09:00,04/08/2025 10:00,0
04/12/2025 08:00,04/12/2025 18:00,0
04/10/2025 05:59,04/10/2025 11:01,0
04/09/2025 15:01,05/07/2025 15:00,61
04/10/2025 07:00,04/10/2025 12:00,0
03/11/2025 17:01,04/08/2025 07:00,91
04/07/2025 17:01,04/09/2025 17:00,62
04/01/2025 05:30,04/12/2025 14:59,334
03/11/2025 17:01,04/08/2025 07:00,91
04/10/2025 11:02,04/11/2025 17:00,31
04/06/2025 08:01,04/08/2025 08:00,61
04/06/2025 15:01,04/06/2025 18:00,0
04/10/2025 11:02,04/11/2025 17:00,31
04/01/2025 06:00,04/01/2025 17:00,0
04/04/2025 04:00,04/05/2025 16:00,31
04/11/2025 00:01,04/11/2025 15:00,1
04/12/2025 08:30,05/03/2025 11:00,274
04/10/2025 05:59,04/10/2025 11:01,0
04/06/2025 22:00,04/09/2025 12:00,92
04/04/2025 11:30,04/04/2025 13:30,0
04/02/2025 08:00,04/02/2025 18:00,0
04/10/2025 05:59,04/10/2025 11:01,0
04/02/2025 08:00,04/02/2025 12:00,0
04/07/2025 07:00,04/07/2025 15:30,0
04/06/2025 07:01,04/06/2025 15:00,0
04/02/2025 10:01,04/02/2025 11:00,0
04/06/2025 21:00,04/09/2025 18:00,92
04/10/2025 11:02,04/11/2025 17:00,31
04/07/2025 08:00,04/08/2025 15:00,31
04/10/2025 11:02,04/11/2025 17:00,31
04/01/2025 07:00,04/01/2025 08:00,0
04/04/2025 08:30,04/04/2025 14:00,0
04/07/2025 08:00,04/08/2025 15:00,31
04/06/2025 08:00,04/06/2025 18:00,0
04/03/2025 08:00,04/04/2025 15:00,31
04/06/2025 22:00,04/09/2025 12:00,92
04/07/2025 06:00,04/07/2025 17:00,0
04/03/2025 06:00,04/04/2025 19:00,32
04/06/2025 15:01,04/06/2025 18:00,0
04/07/2025 04:30,05/12/2025 04:29,154
04/07/2025 08:00,04/08/2025 15:00,31
04/10/2025 05:59,04/10/2025 11:01,0
04/10/2025 05:59,04/10/2025 11:01,0
04/10/2025 05:59,04/10/2025 11:01,0
04/07/2025 04:30,05/12/2025 04:29,154
04/02/2025 07:00,04/04/2025 16:00,59
04/10/2025 11:02,04/11/2025 17:00,31
04/10/2025 05:59,04/10/2025 11:01,0
04/06/2025 04:00,05/02/2025 06:59,119
04/01/2025 07:00,04/01/2025 15:00,0
04/10/2025 05:59,04/10/2025 11:01,0
04/10/2025 05:59,04/10/2025 11:01,0
04/05/2025 08:00,04/05/2025 18:00,0
04/07/2025 08:30,04/12/2025 15:00,153
04/06/2025 22:00,04/09/2025 12:00,92
02/03/2025 06:00,04/11/2025 17:00,247
04/02/2025 07:00,04/04/2025 16:00,59
04/01/2025 07:00,04/01/2025 08:00,0
04/02/2025 17:01,04/06/2025 07:00,120
04/07/2025 04:30,05/12/2025 04:29,154
04/03/2025 06:30,04/06/2025 17:00,92
04/07/2025 00:01,05/03/2025 15:00,120
04/01/2025 18:00,04/07/2025 12:00,181
04/01/2025 07:00,04/01/2025 08:00,0
04/06/2025 21:00,04/09/2025 18:00,92
04/01/2025 08:00,04/01/2025 18:00,0
04/12/2025 08:30,05/03/2025 11:00,274
04/02/2025 07:30,04/02/2025 16:00,0
04/12/2025 08:30,05/03/2025 11:00,274
04/10/2025 07:00,04/11/2025 15:00,31
04/09/2025 15:01,05/07/2025 15:00,61
04/02/2025 09:00,04/02/2025 14:00,0
04/06/2025 15:01,04/06/2025 18:00,0
04/10/2025 05:59,04/10/2025 11:01,0
04/02/2025 08:00,04/02/2025 18:00,0
04/10/2025 11:00,04/11/2025 13:00,31
04/01/2025 05:30,04/12/2025 14:59,334
04/06/2025 08:01,04/08/2025 08:00,61
04/06/2025 07:01,04/06/2025 15:00,0
04/06/2025 04:00,05/02/2025 06:59,119
04/08/2025 08:30,04/09/2025 15:00,31
04/07/2025 04:30,05/12/2025 04:29,154
04/10/2025 08:00,04/10/2025 18:00,0
04/06/2025 05:00,05/02/2025 16:59,119
04/02/2025 07:00,04/04/2025 16:00,59
04/03/2025 08:30,04/04/2025 15:00,31
04/06/2025 07:01,04/06/2025 15:00,0
04/10/2025 11:02,04/11/2025 17:00,31
04/08/2025 08:00,04/09/2025 15:00,31
04/02/2025 12:00,04/02/2025 16:00,0
04/07/2025 08:00,04/08/2025 15:00,31
04/10/2025 05:59,04/10/2025 11:01,0
04/03/2025 06:30,04/06/2025 17:00,92
04/10/2025 05:59,04/10/2025 11:01,0
04/06/2025 07:01,04/06/2025 15:00,0
04/09/2025 07:00,04/09/2025 16:00,0
04/07/2025 08:30,04/12/2025 15:00,153
04/06/2025 04:00,05/02/2025 06:59,119
04/06/2025 08:01,04/08/2025 08:00,61
04/04/2025 08:00,04/04/2025 15:00,0
04/06/2025 05:00,05/02/2025 16:59,119
04/07/2025 08:30,04/12/2025 15:00,153
04/10/2025 05:59,04/10/2025 11:01,0
04/09/2025 07:00,04/09/2025 16:00,0
04/07/2025 00:01,05/03/2025 15:00,120
04/06/2025 08:01,04/08/2025 08:00,61
04/09/2025 08:30,04/10/2025 16:00,30
04/10/2025 05:59,04/10/2025 11:01,0
04/01/2025 05:30,04/12/2025 14:59,334
04/07/2025 17:01,04/09/2025 17:00,62
04/10/2025 06:00,04/10/2025 11:00,0
04/10/2025 11:00,04/11/2025 13:00,31
04/10/2025 11:02,04/11/2025 17:00,31
04/03/2025 08:00,04/04/2025 15:00,31
04/01/2025 06:00,04/02/2025 15:00,31
04/10/2025 11:02,04/11/2025 17:00,31
04/02/2025 06:00,04/02/2025 19:00,1
04/04/2025 08:00,04/04/2025 18:00,0
04/02/2025 06:00,04/02/2025 19:00,1
04/10/2025 05:59,04/10/2025 11:01,0
04/01/2025 07:00,04/01/2025 08:00,0
04/10/2025 11:02,04/11/2025 17:00,31
04/03/2025 06:00,04/04/2025 19:00,32
04/07/2025 00:01,05/03/2025 15:00,120
04/03/2025 08:00,04/03/2025 18:00,0
04/02/2025 07:00,04/04/2025 16:00,59
04/09/2025 08:00,04/09/2025 18:00,0
04/06/2025 05:00,05/02/2025 16:59,119
12/09/2024 10:00,04/01/2025 23:00,115
04/07/2025 08:30,04/07/2025 10:00,0
04/01/2025 14:00,04/01/2025 15:00,0
04/06/2025 15:01,04/06/2025 18:00,0
04/06/2025 21:00,04/09/2025 18:00,92
04/01/2025 06:00,04/01/2025 17:00,0
04/01/2025 14:00,04/01/2025 15:00,0
04/02/2025 06:00,04/02/2025 19:00,1
04/02/2025 17:01,04/06/2025 07:00,120
04/10/2025 06:00,04/10/2025 11:00,0
04/01/2025 06:00,04/01/2025 17:00,0
04/02/2025 17:01,04/06/2025 07:00,120
04/10/2025 06:00,04/10/2025 11:00,0
04/01/2025 17:01,04/05/2025 17:00,120
04/04/2025 04:00,04/05/2025 16:00,31
04/02/2025 17:01,04/06/2025 07:00,120
04/02/2025 17:01,04/06/2025 07:00,120
04/10/2025 11:02,04/11/2025 17:00,31
04/09/2025 08:00,04/10/2025 11:00,30
04/06/2025 07:01,04/06/2025 15:00,0
04/10/2025 11:02,04/11/2025 17:00,31
04/06/2025 22:00,04/09/2025 12:00,92
04/06/2025 08:01,04/08/2025 08:00,61
04/12/2025 08:30,05/03/2025 11:00,274
04/10/2025 11:02,04/11/2025 17:00,31
04/07/2025 07:30,04/08/2025 16:00,31
04/06/2025 08:01,04/08/2025 08:00,61
04/11/2025 00:01,04/11/2025 15:00,1
04/04/2025 04:00,04/05/2025 16:00,31
04/10/2025 11:02,04/11/2025 17:00,31
04/10/2025 11:02,04/11/2025 17:00,31
03/11/2025 17:01,04/08/2025 07:00,91
04/10/2025 05:59,04/10/2025 11:01,0
04/08/2025 08:30,04/09/2025 15:00,31
04/11/2025 00:01,04/11/2025 15:00,1
04/06/2025 22:00,04/09/2025 12:00,92
04/01/2025 05:30,04/12/2025 14:59,334
04/04/2025 08:00,04/04/2025 15:00,0
04/02/2025 08:30,04/03/2025 15:00,28
04/01/2025 07:00,04/01/2025 15:00,0
04/10/2025 11:02,04/11/2025 17:00,31
02/03/2025 06:00,04/11/2025 17:00,247
04/04/2025 08:00,04/06/2025 08:00,61
04/07/2025 08:00,04/07/2025 18:00,0
04/02/2025 06:00,04/02/2025 19:00,1
04/04/2025 04:00,04/05/2025 16:00,31
04/10/2025 11:02,04/11/2025 17:00,31
04/09/2025 07:30,04/10/2025 16:00,30
12/04/2024 06:30,04/03/2025 06:59,326
04/10/2025 11:02,04/11/2025 17:00,31
04/01/2025 07:00,04/01/2025 08:00,0
04/10/2025 06:00,04/10/2025 11:00,0
04/02/2025 08:00,04/02/2025 12:00,0
04/10/2025 11:02,04/11/2025 17:00,31
